"","ID","INSEE_COM","CODE_EPCI","INSEE_DEP","INSEE_REG","NOM_COM_M","POPULATION","Nb_Transac","Prixm2_Moy"
"150","COMMUNE_0000000009754799","05085",240500439,"05",93,"MONTGENEVRE",483,63,3868
"151","COMMUNE_0000000009750883","17483",241700434,"17",75,"YVES",1475,36,2698
"152","COMMUNE_0000000009758112","30141",200034692,"30",76,"LAUDUN L ARDOISE",6204,54,2271
"153","COMMUNE_0000000009754589","05093",240500439,"05",93,"NEVACHE",357,12,3315
"154","COMMUNE_0000000009757944","30081",200034692,"30",76,"CHUSCLAN",981,9,2064
"155","COMMUNE_0000000009757942","30191",200034692,"30",76,"ORSAN",1125,14,1956
"156","COMMUNE_0000000009757783","30251",200034692,"30",76,"SAINT ETIENNE DES SORTS",561,4,2042
"157","COMMUNE_0000000009759334","32094",243200409,"32",76,"CAUPENNE D ARMAGNAC",431,4,1182
"158","COMMUNE_0000000009759339","32202",243200409,"32",76,"LAUJUZAN",274,1,600
"159","COMMUNE_0000000009762073","64047",200067106,"64",75,"ARNEGUY",236,6,1051
"160","COMMUNE_0000000009735237","50419",200067023,"50",28,"QUETTREVILLE SUR SIENNE",3199,32,1305
"161","COMMUNE_0000000009763436","66075",246600464,"66",76,"EYNE",124,17,2363
"162","COMMUNE_0000000009728281","59181",200043263,"59",32,"DOURLERS",585,3,1012
"163","COMMUNE_0000000009762274","64218",200067106,"64",75,"ESTERENCUBY",354,NA,NA
"164","COMMUNE_0000000009762072","64322",200067106,"64",75,"LASSE",329,1,1958
"165","COMMUNE_0000000009762639","64330",200067262,"64",75,"LEES ATHAS",267,1,652
"166","COMMUNE_0000000009762273","64327",200067106,"64",75,"LECUMBERRY",171,1,1060
"167","COMMUNE_0000000009762638","64336",200067262,"64",75,"LESCUN",179,5,1497
"168","COMMUNE_0000000009762275","64492",200067106,"64",75,"SAINT MICHEL",292,2,1626
"169","COMMUNE_0000000009763435","66100",246600399,"66",76,"LLO",169,3,3117
"170","COMMUNE_0000000009738834","91315",249100546,"91",11,"ITTEVILLE",6633,101,2859
"171","COMMUNE_0000000009751936","73285",247300254,"73",84,"SEEZ",2364,22,2940
"172","COMMUNE_0000000009740617","72305",200072700,"72",52,"SAINT OUEN DE MIMBRE",1021,8,961
"173","COMMUNE_0000000009738829","91045",249100546,"91",11,"BALLANCOURT SUR ESSONNE",7627,104,2820
"174","COMMUNE_0000000009739299","91047",249100546,"91",11,"BAULNE",1318,23,2555
"175","COMMUNE_0000002200276463","01215",240100891,"01",84,"SURJOUX LHOPITAL",126,1,1500
"176","COMMUNE_0000002200276467","02153",200043495,"02",32,"CESSIERES SUZY",764,2,1998
